@relation ECommerce
@attribute 'Revenu' real
@attribute 'Achats' real
@data
30290,7500
32500,9350
26520,8600
30680,8900
46020,8150
24960,7400
38220,7650
34190,8650
25870,8100
21840,8700
31070,8000
35750,6950
34580,8550
27430,7200
36790,8100
28470,7900
44200,8600
29380,5700
32110,8550
31070,7550
30420,8050
30290,8950
29380,8900
31590,6850
25870,8900
39260,8100
27560,7850
22750,6150
54210,7850
25610,7600
25740,8400
23010,7000
28470,9400
35490,7600
27690,6250
23010,8000
39520,8500
30160,8250
34970,7400
46800,7550
40040,7100
31850,9000
27040,7400
34320,7150
41730,9100
42250,8600
30550,9000
33410,7800
28080,5750
30420,8000
33280,7450
39260,7550
30030,7300
18330,8750
32760,8600
26130,7900
28860,9300
33800,9250
23660,8700
39390,7950
34450,6500
40170,7800
24180,9500
26390,6600
27430,8250
23790,9100
28860,7150
30420,8750
28600,8500
27170,8150
33540,7350
29510,7700
26520,10100
33930,9300
27690,8250
32500,8050
31850,8300
28730,8200
26650,9200
31200,7700
32500,8950
40040,8500
41340,8000
38740,8900
34450,6100
34320,8000
36010,7550
25610,7800
27820,7900
32240,6100
33150,8750
26910,8400
28990,8450
37440,7950
20800,6900
29380,5550
51220,7850
30290,7350
40950,8100
31980,8650
31720,8900
35100,7250
25350,8950
31200,9700
25480,8150
27430,5750
30420,6550
30680,7600
31720,8100
33020,7950
42250,7700
16380,8650
40690,6650
27430,8050
34060,7750
27950,8500
27820,8400
25090,8100
26520,8600
31590,7600
39390,6100
35230,9100
34840,8600
34710,8350
25870,8950
27300,9600
26520,7150
36010,8600
25480,8450
34970,6050
26130,8150
35230,8100
38350,8100
30550,7650
39780,8150
34970,8150
23140,4800
27040,7000
26130,6300
34190,5250
38350,7850
39390,9050
27170,8650
28990,7100
25610,5800
31850,7150
31460,7450
31200,8550
29380,8450
23400,7500
29640,6900
19370,6250
29510,7750
36140,7600
28600,7600
25610,6550
32890,8950
24960,8700
28600,7200
28730,8150
31200,8450
44460,8300
20410,9100
22750,8650
22750,8650
37180,5400
29770,6450
34840,8000
33020,7350
26390,7750
33280,7100
29770,8400
36920,8000
29120,8650
26780,6600
21710,5700
29900,8000
43550,7900
23010,6000
35880,5600
45890,6600
29250,5700
42900,8450
29900,8250
31590,6400
37700,7650
32890,7200
34580,5450
30290,8150
22360,7900
39650,7100
28080,6550
24440,5650
36660,7100
24050,7750
42380,7000
30030,7350
33020,8150
34710,4950
32240,7900
25610,8850
33540,7050
35100,5550
35620,7500
21320,7250
33150,8050
31070,7100
33540,7850
24440,6950
23010,8100
29770,7500
33800,7000
28470,7000
39910,7300
32370,7200
44330,6800
34190,4850
42900,6600
33020,6350
33280,7500
52910,7700
28210,5550
36660,8700
37440,6650
31070,6300
22620,6250
36530,5150
25740,6500
37440,7950
40170,6550
31590,7600
37570,6200
37570,7250
31980,4800
41860,5450
38870,8650
39000,8550
38090,8500
39520,8100
36660,7800
34970,5600
32370,7150
27560,6600
35620,4400
23920,5250
35620,8300
53170,7500
31980,6000
36790,9750
33020,7300
38740,6100
32110,7150
38220,5300
38870,6250
35490,6250
40170,7350
33670,6500
26000,6300
31720,7700
30030,9100
29640,8250
29900,8000
36660,4750
34970,8450
26780,5400
27560,6600
42510,5850
19370,6300
37180,5800
36790,5150
32370,7200
30420,7250
30810,3550
30420,7800
35750,5900
27560,8400
28340,5250
33930,7050
41470,7600
21580,6250
40950,6250
26520,7800
28340,6700
28990,9050
26910,6900
40430,6000
26520,8100
30160,8200
43550,7150
26650,6500
26390,8050
41340,7000
29250,7300
27560,7500
21970,7200
24310,7200
25610,6800
22880,4500
31330,6150
34320,6600
25090,7050
17030,5750
30680,8700
